Date,Price,Open,High,Low,Vol.,Change %
03-Jan-11,805.25,793.13,824.5,793.13,-,1.59%
31-Dec-10,792.63,786.13,795.63,781.13,-,1.00%
30-Dec-10,784.75,798.75,798.75,776.88,-,-1.80%
29-Dec-10,799.13,799.63,806.13,786.5,-,0.00%
28-Dec-10,799.13,779.75,801.88,779.5,-,2.47%
27-Dec-10,779.88,773.63,783.5,768.5,-,-0.35%
24-Dec-10,782.63,782.63,782.63,782.63,-,-0.13%
23-Dec-10,783.63,784.88,788.13,776.13,-,0.00%
22-Dec-10,783.63,763.5,785.13,756.38,-,2.48%
21-Dec-10,764.63,770.38,771.63,762.25,-,-0.68%
20-Dec-10,769.88,760.25,776.38,759.88,-,1.63%
17-Dec-10,757.5,752.88,757.5,742.38,-,1.02%
16-Dec-10,749.88,764.25,766.5,746.63,-,-1.83%
15-Dec-10,763.88,761,776.38,759.75,-,0.33%
14-Dec-10,761.38,779.88,781.5,754.88,-,-2.45%
13-Dec-10,780.5,773.88,784.75,766.38,-,0.66%
12-Dec-10,775.38,775.38,775.38,775.38,-,-0.06%
10-Dec-10,775.88,788.75,797.88,774.13,-,-1.65%
09-Dec-10,788.88,785.5,790.13,779.75,-,0.61%
08-Dec-10,784.13,780.63,792.38,766.38,-,0.13%
07-Dec-10,783.13,795.75,808.25,777.13,-,-1.37%
06-Dec-10,794,786.25,798.63,774.38,-,1.75%
03-Dec-10,780.38,756.13,781.88,754.75,-,4.31%
02-Dec-10,748.13,742.38,767.13,732.75,-,1.29%
01-Dec-10,738.63,692.63,744.88,691.13,-,7.11%
30-Nov-10,689.63,692.25,697.88,686.13,-,-0.25%
29-Nov-10,691.38,689.13,701.25,687.13,-,0.69%
26-Nov-10,686.63,686.38,692.63,683.75,-,0.16%
24-Nov-10,685.5,682.88,688.25,681.13,-,1.01%
23-Nov-10,678.63,686.75,690.88,673.5,-,-0.84%
22-Nov-10,684.38,684,691.88,678.75,-,0.31%
19-Nov-10,682.25,648.13,696.75,639.38,-,5.63%
18-Nov-10,645.88,634.13,657.25,634.13,-,2.09%
17-Nov-10,632.63,627.5,646.88,619.38,-,1.00%
16-Nov-10,626.38,670.88,673.88,624.5,-,-6.53%
15-Nov-10,670.13,674.75,684.63,667.63,-,0.19%
12-Nov-10,668.88,704.88,710.38,661.38,-,-5.04%
11-Nov-10,704.38,708.25,722.5,701.88,-,-0.70%
10-Nov-10,709.38,721.5,723.38,698.75,-,-1.53%
09-Nov-10,720.38,735.75,760.38,717.75,-,-2.27%
08-Nov-10,737.13,729.75,738.63,721.38,-,1.10%
05-Nov-10,729.13,720.88,731.13,705.13,-,1.18%
04-Nov-10,720.63,694.63,722.75,693,-,3.67%
03-Nov-10,695.13,695.75,699.25,680.63,-,-0.11%
02-Nov-10,695.88,706.63,712.13,692.63,-,-1.56%
01-Nov-10,706.88,727.13,727.88,701.38,-,-2.82%
31-Oct-10,727.38,725,727.38,719.63,-,1.62%
29-Oct-10,715.75,718.63,724.88,711.75,-,-0.40%
28-Oct-10,718.63,704.5,721.38,701.25,-,2.06%
